,Three_Letter_Country_Code,TotalUSDPrize
0,ARG,1174159.24
1,AUS,7999674.76
2,AUT,2742223.11
3,BEL,1230174.53
4,BGR,5741392.45
5,BIH,762802.56
6,BLR,779629.42
7,BRA,5777552.0
8,CAN,13483648.61
9,CHE,876563.76
10,CHN,72391878.56
11,CUB,77092.86
12,CZE,564622.5800000001
13,DEU,10143181.56
14,DNK,26840800.02
15,ESP,892994.22
16,EST,3370014.91
17,FIN,18876262.25
18,FRA,15803240.180000002
19,GBR,4184479.02
20,GIB,126204.51
21,GRC,94073.0
22,HKG,1624213.23
23,HRV,543473.48
24,IRL,133114.01
25,ISR,2464688.73
26,ITA,347922.85
27,JOR,6331742.35
28,JPN,563446.25
29,KAZ,3174004.86
30,KOR,58441733.71
31,LBN,4193412.69
32,LTU,234862.77000000002
33,LVA,269887.84
34,MAC,1337308.37
35,MEX,377144.16
36,MKD,1046689.75
37,MYS,6212272.71
38,NLD,3914253.2
39,NOR,4251594.63
40,PAK,3608317.34
41,PHL,3475039.77
42,POL,5865044.1899999995
43,ROU,2479675.14
44,RUS,21645785.419999998
45,SGP,1553261.96
46,SVK,1369307.32
47,SVN,664098.6
48,SWE,20770423.01
49,THA,1845999.15
50,TUR,1702072.64
51,TWN,4399345.63
52,UKR,8172017.09
53,USA,43099381.78
54,UZB,232167.42
55,VNM,777781.71
